precision@k,recall@k,f1@k,hit_rate@k,mrr@k,experiment,collection,k,chunk_size,chunk_overlap,splitter_type,retrieval_mode,rerank
0.6862,0.9189,0.7572,0.9189,0.8153,dense_only,wb_dense_only,3,500,200,hierarchical,dense,False
0.5829,0.9369,0.6914,0.9369,0.8191,dense_only,wb_dense_only,5,500,200,hierarchical,dense,False
0.4401,0.964,0.5747,0.964,0.8228,dense_only,wb_dense_only,10,500,200,hierarchical,dense,False
0.6066,0.7703,0.6595,0.7703,0.6997,sparse_only,wb_sparse_only,3,500,200,hierarchical,sparse,False
0.5045,0.8153,0.6013,0.8153,0.7103,sparse_only,wb_sparse_only,5,500,200,hierarchical,sparse,False
0.3743,0.8784,0.5037,0.8784,0.7192,sparse_only,wb_sparse_only,10,500,200,hierarchical,sparse,False
0.6967,0.9144,0.7667,0.9144,0.8371,hybrid_rrf,wb_hybrid_rrf,3,500,200,hierarchical,hybrid,False
0.5937,0.9505,0.7045,0.9505,0.8452,hybrid_rrf,wb_hybrid_rrf,5,500,200,hierarchical,hybrid,False
0.4505,0.973,0.5922,0.973,0.8477,hybrid_rrf,wb_hybrid_rrf,10,500,200,hierarchical,hybrid,False
0.6051,0.7703,0.6581,0.7703,0.6997,hybrid_simple_90d_10s,wb_hybrid_simple_90d_10s,3,500,200,hierarchical,hybrid,False
0.5036,0.8153,0.6006,0.8153,0.7103,hybrid_simple_90d_10s,wb_hybrid_simple_90d_10s,5,500,200,hierarchical,hybrid,False
0.3743,0.8784,0.5037,0.8784,0.7192,hybrid_simple_90d_10s,wb_hybrid_simple_90d_10s,10,500,200,hierarchical,hybrid,False
0.6051,0.7703,0.6581,0.7703,0.6997,hybrid_simple_70d_30s,wb_hybrid_simple_70d_30s,3,500,200,hierarchical,hybrid,False
0.5036,0.8153,0.6006,0.8153,0.7103,hybrid_simple_70d_30s,wb_hybrid_simple_70d_30s,5,500,200,hierarchical,hybrid,False
0.3743,0.8784,0.5037,0.8784,0.7192,hybrid_simple_70d_30s,wb_hybrid_simple_70d_30s,10,500,200,hierarchical,hybrid,False
0.6051,0.7703,0.6581,0.7703,0.6997,hybrid_simple_50d_50s,wb_hybrid_simple_50d_50s,3,500,200,hierarchical,hybrid,False
0.5036,0.8153,0.6006,0.8153,0.7103,hybrid_simple_50d_50s,wb_hybrid_simple_50d_50s,5,500,200,hierarchical,hybrid,False
0.3743,0.8784,0.5037,0.8784,0.7192,hybrid_simple_50d_50s,wb_hybrid_simple_50d_50s,10,500,200,hierarchical,hybrid,False
0.6051,0.7703,0.6581,0.7703,0.6997,hybrid_simple_30d_70s,wb_hybrid_simple_30d_70s,3,500,200,hierarchical,hybrid,False
0.5036,0.8153,0.6006,0.8153,0.7103,hybrid_simple_30d_70s,wb_hybrid_simple_30d_70s,5,500,200,hierarchical,hybrid,False
0.3743,0.8784,0.5037,0.8784,0.7192,hybrid_simple_30d_70s,wb_hybrid_simple_30d_70s,10,500,200,hierarchical,hybrid,False
0.6051,0.7703,0.6581,0.7703,0.6997,hybrid_simple_10d_90s,wb_hybrid_simple_10d_90s,3,500,200,hierarchical,hybrid,False
0.5036,0.8153,0.6006,0.8153,0.7103,hybrid_simple_10d_90s,wb_hybrid_simple_10d_90s,5,500,200,hierarchical,hybrid,False
0.3743,0.8784,0.5037,0.8784,0.7192,hybrid_simple_10d_90s,wb_hybrid_simple_10d_90s,10,500,200,hierarchical,hybrid,False
